ID_ESPACIA,value
5001,0
5002,0
5004,0
5021,0
5030,0
5031,0
5034,0
5036,0
5038,0
5040,0
5042,0
5044,0
5045,0
5051,0
5055,2
5059,0
5079,2
5086,0
5088,0
5091,2
5093,0
5101,9
5107,55
5113,13
5120,19
5125,40
5129,26
5134,27
5138,21
5142,15
5145,15
5147,10
5148,8
5150,22
5154,18
5172,15
5190,12
5197,18
5206,20
5209,11
5212,14
5234,12
5237,13
5240,3
5250,0
5264,0
5266,0
5282,0
5284,0
5306,0
5308,0
5310,0
5313,0
5315,0
5318,0
5321,0
5347,0
5353,0
5360,0
5361,0
5364,0
5368,0
5376,0
5380,0
5390,0
5400,0
5411,0
5425,0
5440,0
5467,0
5475,0
5480,0
5483,0
5490,1
5495,0
5501,0
5541,0
5543,0
5576,0
5579,0
5585,0
5591,0
5604,0
5607,0
5615,0
5628,0
5631,0
5642,0
5647,0
5649,0
5652,0
5656,0
5658,0
5659,0
5660,0
5664,0
5665,0
5667,0
5670,0
5674,0
5679,0
5686,0
5690,0
5697,0
5736,0
5756,0
5761,0
5789,0
5790,0
5792,0
5809,0
5819,0
5837,0
5842,0
5847,0
5854,0
5856,0
5858,0
5861,0
5873,0
5885,0
5887,0
5890,0
5893,0
5895,0
8001,0
8078,0
8137,0
8141,0
8296,0
8372,0
8421,0
8433,0
8436,0
8520,0
8549,0
8558,0
8560,0
8573,0
8606,0
8634,0
8638,0
8675,0
8685,0
8758,0
8770,0
8832,0
8849,0
11001,0
13001,0
13006,0
13030,0
13042,0
13052,0
13062,0
13074,0
13140,0
13160,0
13188,0
13212,0
13222,0
13244,0
13248,0
13268,0
13300,0
13430,0
13433,0
13440,0
13442,0
13458,0
13468,0
13473,0
13490,0
13549,0
13580,0
13600,0
13620,0
13647,0
13650,0
13654,0
13655,0
13657,0
13667,0
13670,0
13673,0
13683,0
13688,0
13744,0
13760,0
13780,0
13810,0
13836,0
13838,0
13873,0
13894,0
15001,0
15022,0
15047,0
15051,0
15087,0
15090,1
15092,0
15097,0
15104,0
15106,0
15109,0
15114,2
15131,0
15135,1
15162,0
15172,1
15176,0
15180,0
15183,0
15185,0
15187,0
15189,0
15204,0
15212,0
15215,0
15218,0
15223,0
15224,0
15226,0
15232,0
15236,0
15238,0
15244,0
15248,0
15272,0
15276,0
15293,0
15296,0
15299,0
15317,0
15322,0
15325,0
15332,0
15362,0
15367,0
15368,0
15377,0
15380,0
15401,0
15403,0
15407,0
15425,0
15442,0
15455,0
15464,0
15466,0
15469,0
15476,0
15480,0
15491,1
15494,0
15500,0
15507,0
15511,0
15514,0
15516,0
15518,0
15522,0
15531,0
15533,0
15537,0
15542,0
15550,0
15572,0
15580,0
15599,0
15600,0
15621,0
15632,0
15638,0
15646,0
15660,0
15664,0
15667,0
15673,0
15676,0
15681,0
15686,0
15690,0
15693,0
15696,0
15720,0
15723,0
15740,0
15753,0
15755,0
15757,0
15759,0
15761,0
15762,0
15763,0
15764,1
15774,1
15776,0
15778,0
15790,0
15798,0
15804,1
15806,0
15808,0
15810,0
15814,0
15816,0
15820,0
15822,0
15832,0
15835,0
15837,0
15839,0
15842,0
15861,0
15879,0
