05,ANTIOQUIA,05649,SAN CARLOS
68,SANTANDER,68245,EL GUACAMAYO
25,CUNDINAMARCA,25377,LA CALERA
70,SUCRE,70230,CHALN
13,BOLVAR,13248,EL GUAMO
85,CASANARE,85139,MAN
41,HUILA,41518,PAICOL
68,SANTANDER,68318,GUACA
19,CAUCA,19392,LA SIERRA
52,NARIO,52621,ROBERTO PAYN (San Jos)
25,CUNDINAMARCA,25320,GUADUAS
08,ATLANTICO,08296,GALAPA
25,CUNDINAMARCA,25851,TICA
85,CASANARE,85279,RECETOR
13,BOLVAR,13620,SAN CRISTBAL
08,ATLANTICO,08758,SOLEDAD
52,NARIO,52381,LA FLORIDA
23,CRDOBA,23672,SAN ANTERO
23,CRDOBA,23189,CINAGA DE ORO
13,BOLVAR,13458,MONTECRISTO
76,VALLE DEL CAUCA,76113,BUGALAGRANDE
05,ANTIOQUIA,05543,PEQUE
27,CHOC,27006,ACAND
52,NARIO,52520,FRANCISCO PIZARRO (Salahonda)
13,BOLVAR,13430,MAGANGU
20,CESAR,20001,VALLEDUPAR
76,VALLE DEL CAUCA,76869,VIJES
25,CUNDINAMARCA,25086,BELTRN
68,SANTANDER,68655,SABANA DE TORRES
97,VAUPES,97511,PACOA (Cor. Departamental)
76,VALLE DEL CAUCA,76895,ZARZAL
23,CRDOBA,23675,SAN BERNARDO DEL VIENTO
05,ANTIOQUIA,05284,FRONTINO
41,HUILA,41551,PITALITO
13,BOLVAR,13667,SAN MARTN DE LOBA
15,BOYAC,15693,SANTA ROSA DE VITERBO
15,BOYAC,15092,BETITIVA
23,CRDOBA,23090,CANALETE
25,CUNDINAMARCA,25290,FUSAGASUG
25,CUNDINAMARCA,25154,CARMEN DE CARUPA
70,SUCRE,70400,LA UNIN
05,ANTIOQUIA,05400,LA UNION
41,HUILA,41615,RIVERA
15,BOYAC,15757,SOCHA
05,ANTIOQUIA,05607,RETIRO
15,BOYAC,15820,TPAGA
73,TOLIMA,73449,MELGAR
27,CHOC,27372,JURAD
05,ANTIOQUIA,05347,HELICONIA
15,BOYAC,15425,MACANAL
23,CRDOBA,23660,SAHAGN
17,CALDAS,17665,SAN JOS
76,VALLE DEL CAUCA,76563,PRADERA
05,ANTIOQUIA,05113,BURITIC
25,CUNDINAMARCA,25878,VIOT
17,CALDAS,17174,CHINCHIN
73,TOLIMA,73671,SALDAA
68,SANTANDER,68276,FLORIDABLANCA
66,RISARALDA,66318,GUTICA
20,CESAR,20228,CURUMAN
70,SUCRE,70473,MORROA
68,SANTANDER,68020,ALBANIA
15,BOYAC,15804,TIBAN
15,BOYAC,15322,GUATEQUE
19,CAUCA,19532,PATA  (El Bordo)
73,TOLIMA,73268,ESPINAL
25,CUNDINAMARCA,25151,CQUEZA
73,TOLIMA,73148,CARMEN DE APICAL
68,SANTANDER,68169,CHARTA
05,ANTIOQUIA,05093,BETULIA
91,AMAZONAS,91407,LA PEDRERA (Cor. Departamental)
25,CUNDINAMARCA,25148,CAPARRAP
68,SANTANDER,68770,SUAITA
13,BOLVAR,13160,CANTAGALLO
20,CESAR,20443,MANAURE BALCN DEL CESAR
25,CUNDINAMARCA,25386,LA MESA
25,CUNDINAMARCA,25120,CABRERA
25,CUNDINAMARCA,25269,FACATATIV
47,MAGDALENA,47555,PLATO
15,BOYAC,15491,NOBSA
50,META,50606,RESTREPO
41,HUILA,41548,PITAL
05,ANTIOQUIA,05895,ZARAGOZA
68,SANTANDER,68327,GEPSA
05,ANTIOQUIA,05034,ANDES
15,BOYAC,15690,SANTA MARA
97,VAUPES,97001,MIT
05,ANTIOQUIA,05125,CAICEDO
08,ATLANTICO,08634,SABANAGRANDE
18,CAQUET,18205,CURILLO
23,CRDOBA,23500,MOITOS
41,HUILA,41503,OPORAPA
05,ANTIOQUIA,05887,YARUMAL
76,VALLE DEL CAUCA,76616,RIOFRO
05,ANTIOQUIA,05129,CALDAS
05,ANTIOQUIA,05030,AMAG
15,BOYAC,15106,BRICEO
05,ANTIOQUIA,05792,TARSO
05,ANTIOQUIA,05411,LIBORINA
52,NARIO,52354,IMUS
15,BOYAC,15806,TIBASOSA
73,TOLIMA,73483,NATAGAIMA
25,CUNDINAMARCA,25040,ANOLAIMA
05,ANTIOQUIA,05142,CARACOL
50,META,50711,VISTAHERMOSA
76,VALLE DEL CAUCA,76403,LA VICTORIA
95,GUAVIARE,95025,EL RETORNO
50,META,50370,URIBE
25,CUNDINAMARCA,25594,QUETAME
68,SANTANDER,68081,BARRANCABERMEJA
15,BOYAC,15377,LABRANZAGRANDE
52,NARIO,52885,YACUANQUER
52,NARIO,52786,TAMINANGO
68,SANTANDER,68673,SAN BENITO
05,ANTIOQUIA,05044,ANZ
13,BOLVAR,13688,SANTA ROSA DEL SUR
19,CAUCA,19785,SUCRE
05,ANTIOQUIA,05670,SAN ROQUE
17,CALDAS,17088,BELALCZAR
23,CRDOBA,23417,LORICA
41,HUILA,41885,YAGUAR
47,MAGDALENA,47703,SAN ZENN
25,CUNDINAMARCA,25402,LA VEGA
68,SANTANDER,68162,CERRITO
15,BOYAC,15808,TINJAC
95,GUAVIARE,95015,CALAMAR
20,CESAR,20621,LA PAZ
50,META,50124,CABUYARO
13,BOLVAR,13683,SANTA ROSA
27,CHOC,27413,LLOR
18,CAQUET,18150,CARTAGENA DEL CHAIR
52,NARIO,52051,ARBOLEDA (Berruecos)
54,NORTE DE SANTANDER,54223,CUCUTILLA
15,BOYAC,15822,TOTA
68,SANTANDER,68533,PRAMO
68,SANTANDER,68418,LOS SANTOS
13,BOLVAR,13549,PINILLOS
50,META,50573,PUERTO LPEZ
52,NARIO,52378,LA CRUZ
20,CESAR,20517,PAILITAS
52,NARIO,52036,ANCUYA
76,VALLE DEL CAUCA,76497,OBANDO
41,HUILA,41244,ELAS
25,CUNDINAMARCA,25772,SUESCA
52,NARIO,52254,EL PEOL
25,CUNDINAMARCA,25899,ZIPAQUIR
23,CRDOBA,23586,PURSIMA
25,CUNDINAMARCA,25513,PACHO
52,NARIO,52693,SAN PABLO
68,SANTANDER,68013,AGUADA
25,CUNDINAMARCA,25426,MACHET
15,BOYAC,15660,SAN EDUARDO
41,HUILA,41668,SAN AGUSTN
23,CRDOBA,23168,CHIM
23,CRDOBA,23574,PUERTO ESCONDIDO
52,NARIO,52685,SAN BERNARDO
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ (La Hormiga)
50,META,50325,MAPIRIPN
05,ANTIOQUIA,05656,SAN JERNIMO
05,ANTIOQUIA,05364,JARDN
52,NARIO,52435,MALLAMA (Piedrancha)
73,TOLIMA,73217,COYAIMA
73,TOLIMA,73678,SAN LUIS
25,CUNDINAMARCA,25286,FUNZA
54,NORTE DE SANTANDER,54128,CCHIRA
54,NORTE DE SANTANDER,54003,BREGO
54,NORTE DE SANTANDER,54405,LOS PATIOS
86,PUTUMAYO,86573,PUERTO LEGUZAMO
20,CESAR,20570,PUEBLO BELLO
05,ANTIOQUIA,05789,TMESIS
25,CUNDINAMARCA,25200,COGUA
94,GUAINIA,94887,PAN PAN (Campo Alegre) (Cor. Departamental)
27,CHOC,27077,BAJO BAUD  (Pizarro)
25,CUNDINAMARCA,25324,GUATAQU
08,ATLANTICO,08638,SABANALARGA
05,ANTIOQUIA,05360,ITAG
13,BOLVAR,13838,TURBANA
47,MAGDALENA,47268,EL RETN
25,CUNDINAMARCA,25019,ALBN
19,CAUCA,19517,PEZ (Belalczar)
08,ATLANTICO,08685,SANTO TOMS
23,CRDOBA,23464,MOMIL
15,BOYAC,15832,TUNUNGU
63,QUINDIO,63190,CIRCASIA
15,BOYAC,15511,PACHAVITA
25,CUNDINAMARCA,25873,VILLAPINZN
86,PUTUMAYO,86568,PUERTO ASS
15,BOYAC,15720,SATIVANORTE
08,ATLANTICO,08770,SUAN
13,BOLVAR,13580,REGIDOR
05,ANTIOQUIA,05541,PEOL
20,CESAR,20032,ASTREA
05,ANTIOQUIA,05658,SAN JOS DE LA MONTAA
70,SUCRE,70678,SAN BENITO ABAD
41,HUILA,41006,ACEVEDO
13,BOLVAR,13042,ARENAL
20,CESAR,20238,EL COPEY
76,VALLE DEL CAUCA,76622,ROLDANILLO
50,META,50226,CUMARAL
68,SANTANDER,68264,ENCINO
05,ANTIOQUIA,05667,SAN RAFAEL
94,GUAINIA,94884,PUERTO COLOMBIA (Cor. Departamental)
05,ANTIOQUIA,05761,SOPETRN
52,NARIO,52001,PASTO
15,BOYAC,15790,TASCO
91,AMAZONAS,91798,TARAPAC (Cor. Departamental)
68,SANTANDER,68867,VETAS
05,ANTIOQUIA,05088,BELLO
44,LA GUAJIRA,44420,LA JAGUA DEL PILAR
73,TOLIMA,73270,FALAN
19,CAUCA,19807,TIMBO
54,NORTE DE SANTANDER,54553,PUERTO SANTANDER
68,SANTANDER,68324,GUAVAT
44,LA GUAJIRA,44560,MANAURE
25,CUNDINAMARCA,25535,PASCA
52,NARIO,52260,EL TAMBO
63,QUINDIO,63111,BUENAVISTA
25,CUNDINAMARCA,25805,TIBACUY
13,BOLVAR,13650,SAN FERNANDO
41,HUILA,41359,ISNOS
05,ANTIOQUIA,05134,CAMPAMENTO
50,META,50577,PUERTO LLERAS
68,SANTANDER,68689,SAN VICENTE DE CHUCUR
08,ATLANTICO,08137,CAMPO DE LA CRUZ
08,ATLANTICO,08436,MANAT
19,CAUCA,19821,TORIBO
86,PUTUMAYO,86757,SAN MIGUEL (La Dorada)
85,CASANARE,85001,YOPAL
68,SANTANDER,68498,OCAMONTE
23,CRDOBA,23079,BUENAVISTA
91,AMAZONAS,91263,EL ENCANTO (Cor. Departamental)
63,QUINDIO,63690,SALENTO
19,CAUCA,19300,GUACHEN
15,BOYAC,15681,SAN PABLO DE BORBUR
63,QUINDIO,63470,MONTENEGRO
19,CAUCA,19513,PADILLA
15,BOYAC,15580,QUPAMA
13,BOLVAR,13647,SAN ESTANISLAO
66,RISARALDA,66075,BALBOA
27,CHOC,27050,ATRATO (Yuto)
25,CUNDINAMARCA,25592,QUEBRADANEGRA
68,SANTANDER,68444,MATANZA
15,BOYAC,15022,ALMEIDA
25,CUNDINAMARCA,25785,TABIO
27,CHOC,27250,EL LITORAL DEL SAN JUAN
13,BOLVAR,13810,TIQUISIO (Puerto Rico)
05,ANTIOQUIA,05315,GUADALUPE
19,CAUCA,19318,GUAPI
86,PUTUMAYO,86569,PUERTO CAICEDO
25,CUNDINAMARCA,25035,ANAPOIMA
19,CAUCA,19845,VILLA RICA
68,SANTANDER,68549,PINCHOTE
15,BOYAC,15480,MUZO
52,NARIO,52490,OLAYA HERRERA (Bocas de Satinga)
15,BOYAC,15226,CUTIVA
68,SANTANDER,68250,EL PEN
13,BOLVAR,13268,EL PEN
15,BOYAC,15442,MARIP
15,BOYAC,15572,PUERTO BOYAC
70,SUCRE,70717,SAN PEDRO
63,QUINDIO,63130,CALARC
25,CUNDINAMARCA,25483,NARIO
73,TOLIMA,73024,ALPUJARRA
20,CESAR,20295,GAMARRA
47,MAGDALENA,47692,SAN SEBASTIN DE BUENAVISTA
